,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,YearCommissioned,Retrofit,lat,lon,File,projectID,bus
55,,Bioenergy,Bioenergy,,DE,22.0696,,0,2011,,48.1492228036585,11.5812111997905,,,3314
56,,Hard Coal,Hard Coal,,DE,332.7,,0,1011,,48.1923502,11.6403669,,,3314
57,,Hydro,Run-Of-River,,DE,12.17205,,0,1980,,48.1967289899054,11.5603267585423,,,3314
58,,OCGT,OCGT,,DE,654.27418,,0,1011,,48.1606456647303,11.5901332198263,,,3314
59,,Oil,Oil,,DE,0.58,,0,1306,,48.1016192627624,11.6523553819303,,,3314
60,,onwind,onwind,,DE,1.68,,0,1999,,48.2074621,11.6314436,,,3314
61,,solar,solar,,DE,122.24978952,,0,2011,,48.154064813206,11.5884135389515,,,3314
62,,Bioenergy,Bioenergy,,DE,13.62912,,0,1997,,48.2893029600961,11.9482629276188,,,3315
63,,Hydro,Run-Of-River,,DE,25.7667069,,0,2010,,48.3085477378572,11.9417667619735,,,3315
64,,OCGT,OCGT,,DE,0.74375,,0,1209,,48.2005741571429,11.8636535248801,,,3315
65,,Oil,Oil,,DE,0.86,,0,1102,,48.3377422,11.8183646577259,,,3315
66,,onwind,onwind,,DE,0.049504,,0,2012,,48.2785502071429,11.9838820792874,,,3315
67,,solar,solar,,DE,143.47305976,,0,2008,,48.2790704749317,11.9509526981333,,,3315
68,,Bioenergy,Bioenergy,,DE,7.3336,,0,2011,,48.8640292047619,11.8647114666667,,,3316
69,,Hydro,Run-Of-River,,DE,2.823018,,0,1956,,48.9900815983606,11.7677007987133,,,3316
70,,OCGT,OCGT,,DE,0.0102,,0,1610,,48.9886065,11.7337202,,,3316
71,,onwind,onwind,,DE,0.686896,,0,2010,,49.064223675,11.7248657,,,3316
72,,solar,solar,,DE,191.29094388,,0,2012,,48.9129219850683,11.8136274839656,,,3316
73,,Bioenergy,Bioenergy,,DE,6.3098,,0,2011,,49.0145491,12.1558888164888,,,3317
74,,Hydro,Run-Of-River,,DE,10.952634,,0,1960,,49.0358273355932,12.083833953617,,,3317
75,,OCGT,OCGT,,DE,14.73254,,0,1012,,49.0076106222222,12.1005688520766,,,3317
76,,Oil,Oil,,DE,0.5253,,0,1311,,49.0072253,12.0778275521994,,,3317
77,,onwind,onwind,,DE,4.159008,,0,2012,,49.0810502833333,12.0776361821356,,,3317
78,,solar,solar,,DE,202.710379479999,,0,2003,,49.009667154627,12.1171305495557,,,3317
79,,Bioenergy,Bioenergy,,DE,53.949984,,0,2006,,48.1154642138512,12.5795656931614,,,3318
80,,Geothermal,Geothermal,,DE,11,,0,1301,,47.9772723,12.5830219549177,,,3318
81,,Hydro,Run-Of-River,,DE,77.3592105,,0,2008,,47.9685268432283,12.6630750964679,,,3318
82,,OCGT,OCGT,,DE,73.66916,,0,1012,,48.0426762666667,12.6093059833244,,,3318
83,,Oil,Oil,,DE,0.430741,,0,1812,,47.9635144657498,12.6710616096388,,,3318
84,,onwind,onwind,,DE,4.604208,,0,2011,,48.0604428111111,12.5820206922814,,,3318
85,,solar,solar,,DE,537.841652640008,,0,2004,,48.0975937659203,12.6108515885946,,,3318
86,,Bioenergy,Bioenergy,,DE,9.3154,,0,2009,,48.5797447185714,12.3766407079672,,,3319
87,,Hydro,Run-Of-River,,DE,19.145049,,0,1970,,48.6923521286534,12.3805217151076,,,3319
88,,OCGT,OCGT,,DE,28.9365,,0,1011,,48.5426124857143,12.4251999374496,,,3319
89,,onwind,onwind,,DE,0.00336,,0,2013,,48.773656975,12.2982431135291,,,3319
90,,solar,solar,,DE,321.55078332,,0,2003,,48.6622918583168,12.3954708662071,,,3319
91,,Bioenergy,Bioenergy,,DE,37.918,,0,2009,,45.3780925740235,16.1762867476773,,,3320
92,,Hydro,Run-Of-River,,DE,153.3246,,0,1994,,48.0149563693352,13.8988775718835,,,3320
93,,OCGT,OCGT,,DE,239.11102,,0,1012,,48.4329280433269,13.2121031481179,,,3320
94,,onwind,onwind,,DE,63.763728,,0,2010,,27.35060656125,35.7553397959292,,,3320
95,,solar,solar,,DE,775.909864960006,,0,2003,,48.5069794182992,13.2151684959646,,,3320
96,,Bioenergy,Bioenergy,,DE,10.71,,0,2009,,46.4682856857143,11.088186194405,,,3323
97,,Hydro,Run-Of-River,,DE,397.46487,,0,1990,,47.6281589324468,11.0933613576893,,,3323
98,,OCGT,OCGT,,DE,139.60625,,0,1011,,47.72310525,11.0358732329532,,,3323
99,,solar,solar,,DE,140.40964008,,0,2013,,47.7162934915329,11.0908780094459,,,3323
100,,Bioenergy,Bioenergy,,DE,42.157096,,0,2011,,48.9240707119608,12.7741970935868,,,3324
101,,Hydro,Run-Of-River,,DE,33.2761935,,0,1967,,48.9964509003513,12.9787481223199,,,3324
102,,OCGT,OCGT,,DE,98.34504,,0,1012,,48.9612058490318,12.7801239073446,,,3324
103,,Oil,Oil,,DE,0.14303,,0,1010,,49.0074771528557,12.803233312193,,,3324
104,,onwind,onwind,,DE,2.612232,,0,1999,,48.9332525125,12.8132007005768,,,3324
105,,solar,solar,,DE,1027.00877971999,,0,2004,,48.9166782160062,12.8572172184965,,,3324
106,,Hydro,Run-Of-River,,DE,31.00482,,0,1958,,47.7656299107143,7.95370471410135,,,3453
107,,OCGT,OCGT,,DE,46.64091,,0,1011,,47.6236818714286,7.84536575658004,,,3453
108,,Bioenergy,Bioenergy,,DE,14.37176,,0,2006,,48.0213430981918,7.80884133297642,,,3454
109,,onwind,onwind,,DE,24.33648,,0,2011,,48.16059298,7.88370295647357,,,3454
110,,solar,solar,,DE,264.507067439999,,0,2009,,48.007807254939,7.75868419670425,,,3454
111,,Hydro,Run-Of-River,,DE,3.097446,,0,2004,,48.0149716563218,7.86532271067726,,,3455
112,,OCGT,OCGT,,DE,91.437785,,0,1011,,48.0005853946742,7.81801695564759,,,3455
113,,Oil,Oil,,DE,1.21232,,0,1610,,48.09207398,7.76612243572992,,,3455
114,,Bioenergy,Bioenergy,,DE,3.40604,,0,2008,,47.7818990368421,8.03479617697404,,,3458
115,,Oil,Oil,,DE,0.28531,,0,1010,,47.7793367,8.0635537573221,,,3458
116,,onwind,onwind,,DE,4.499656,,0,2005,,47.74608743125,8.07872513887744,,,3458
117,,solar,solar,,DE,83.59083016,,0,2011,,47.6846092296626,7.94420258574249,,,3458
118,,Bioenergy,Bioenergy,,DE,1.8604,,0,2005,,47.6572412175,8.35229699613582,,,3460
119,,onwind,onwind,,DE,8.51592,,0,2007,,44.7660018,8.20972418,,,3460
120,,solar,solar,,DE,53.2820152799999,,0,2010,,47.6569958345825,8.31686266107274,,,3460
121,,Hydro,Run-Of-River,,DE,33.570867,,0,2007,,47.661419275,8.32876617918811,,,3461
122,,OCGT,OCGT,,DE,0.00785,,0,1204,,47.6283955125,8.26913000572141,,,3461
123,,Oil,Oil,,DE,0.0661,,0,1210,,47.6441125,8.42626898121543,,,3461
124,,Bioenergy,Bioenergy,,DE,4.18736,,0,2006,,48.025692952459,8.36583599639826,,,3462
125,,Hydro,Run-Of-River,,DE,4.3204095,,0,1928,,48.1724839763359,8.26415122975911,,,3462
126,,OCGT,OCGT,,DE,1.17514,,0,1312,,48.1254928966667,8.34486771263141,,,3462
127,,Oil,Oil,,DE,0.06,,0,1012,,48.27422575,8.33773016503754,,,3462
128,,onwind,onwind,,DE,55.385456,,0,2010,,48.1108978692308,8.18651559464749,,,3462
129,,solar,solar,,DE,113.28097172,,0,2011,,48.1292440148135,8.33326331851826,,,3462
130,,Bioenergy,Bioenergy,,DE,9.3728,,0,2010,,48.4368555092105,7.90438374006132,,,3463
131,,Hydro,Run-Of-River,,DE,3.18846,,0,1994,,48.3821402302083,7.97512085477151,,,3463
132,,OCGT,OCGT,,DE,0.44862,,0,1210,,48.4654998734434,7.91744746685045,,,3463
133,,Oil,Oil,,DE,1.34584,,0,1032,,48.5021349153013,7.88402845368611,,,3463
134,,onwind,onwind,,DE,8.580432,,0,1997,,48.4133066857143,7.98362760051075,,,3463
135,,solar,solar,,DE,286.913439279999,,0,2010,,48.4231143549002,7.92117102943007,,,3463
136,,Bioenergy,Bioenergy,,DE,2.17132,,0,2000,,48.7638309538461,8.233896157445,,,3464
137,,Hydro,Run-Of-River,,DE,13.8524364,,0,1964,,48.6546025909836,8.32794907715707,,,3464
138,,OCGT,OCGT,,DE,4.44758,,0,1310,,48.7570479,8.25258718227523,,,3464
139,,Oil,Oil,,DE,0.068,,0,1012,,48.75940535,8.23712225003509,,,3464
140,,onwind,onwind,,DE,0.39788,,0,2009,,48.55935784,8.25576110860363,,,3464
141,,solar,solar,,DE,72.4343277999999,,0,2012,,48.7694634541592,8.26320571428555,,,3464
142,,Bioenergy,Bioenergy,,DE,0.05824,,0,2011,,48.9461029,8.37958246722029,,,3465
